Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
85051;85110;CHANTONNAY;VENDEE;PAYS DE LA LOIRE;46.669016779283965;-1.043725880188001
21213;21800;CRIMOLOIS;COTE-D'OR;BOURGOGNE;47.27029592662969;5.124423598233055
78537;78730;SAINT-ARNOULT-EN-YVELINES;YVELINES;ILE-DE-FRANCE;48.572522007907644;1.934638479417881
8286;8310;MENIL-ANNELLES;ARDENNES;CHAMPAGNE-ARDENNE;49.436602796867746;4.449852867439858
74272;74330;SILLINGY;HAUTE-SAVOIE;RHONE-ALPES;45.94890888655942;6.027534264284984
52265;52170;BAYARD-SUR-MARNE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;48.549961577058454;5.068809358349678
24029;24400;BEAUPOUYET;DORDOGNE;AQUITAINE;44.99611497336317;0.28525446412745903
68141;68720;HOCHSTATT;HAUT-RHIN;ALSACE;47.709305107226896;7.266746785148484
76392;76660;LONDINIERES;SEINE-MARITIME;HAUTE-NORMANDIE;49.84117388288863;1.396350783721995
22071;22350;GUITTE;COTES-D'ARMOR;BRETAGNE;48.2908086069312;-2.102950588583574
2A278;20127;SERRA-DI-SCOPAMENE;CORSE-DU-SUD;CORSE;41.77888738501971;9.109827400429527
28054;28210;LE BOULLAY-MIVOYE;EURE-ET-LOIR;CENTRE;48.65418774940313;1.406357823424858
32109;32160;COULOUME-MONDEBAT;GERS;MIDI-PYRENEES;43.63521478954959;0.11401695873596202
30329;30140;THOIRAS;GARD;LANGUEDOC-ROUSSILLON;44.065172954516655;3.9206906043138323
76067;76220;BEAUVOIR-EN-LYONS;SEINE-MARITIME;HAUTE-NORMANDIE;49.48426154102019;1.5830596848806722
72313;72600;SAINT-PIERRE-DES-ORMES;SARTHE;PAYS DE LA LOIRE;48.2934012161227;0.42042371780547305
7132;7110;LARGENTIERE;ARDECHE;RHONE-ALPES;44.5338484702289;4.301280544509088
50494;50140;SAINT-JEAN-DU-CORAIL;MANCHE;BASSE-NORMANDIE;48.61635909790343;-0.8890212442307951
11135;11140;LA FAJOLLE;AUDE;LANGUEDOC-ROUSSILLON;42.75254216864582;1.965146506459647
17089;17100;LA CHAPELLE-DES-POTS;CHARENTE-MARITIME;POITOU-CHARENTES;45.76444555282535;-0.534261419507402
80068;80370;BEAUMETZ;SOMME;PICARDIE;50.13493544772468;2.110243143976516
27428;27110;LE NEUBOURG;EURE;HAUTE-NORMANDIE;49.14827903277155;0.897176574237984
7329;7110;VALGORGE;ARDECHE;RHONE-ALPES;44.59425703262063;4.112587937978968
44056;44130;FAY-DE-BRETAGNE;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE;47.39056995632896;-1.795302619456626
30008;30500;ALLEGRE-LES-FUMADES;GARD;LANGUEDOC-ROUSSILLON;44.19760136576085;4.2533959295463895
19229;19600;SAINT-PANTALEON-DE-LARCHE;CORREZE;LIMOUSIN;45.14678934125377;1.432495835742942
